#Ind	Tok	NER	COMP	COREF	CLINK	REL	WIKI	MCBD
# 3-SPSP187205180201
101	人	O	O	O	_	_	_	_
102	者	O	O	O	_	_	_	_
103	深	O	O	O	_	_	_	_
104	矣	O	O	O	_	_	_	_
105	且	O	O	O	_	_	_	_
106	有	O	O	O	_	_	_	_
107	言	O	O	O	_	_	_	_
108	公	O	O	B-COREF	10	_	_	_
109	己	O	O	O	_	_	_	_
110	爲	O	O	O	_	_	_	_
111	神	O	O	O	_	_	_	_
112	者	O	O	O	_	_	_	_
113	或	O	O	O	_	_	_	_
114	謂	O	O	O	_	_	_	_
115	爲	O	O	O	_	_	_	_
116	神	O	O	O	_	_	_	_
117	事	O	O	O	_	_	_	_
118	無	O	O	O	_	_	_	_
119	實	O	O	O	_	_	_	_
120	據	O	O	O	_	_	_	_
121	民	O	O	O	_	_	_	_
123	間	O	O	O	_	_	_	_
124	故	O	O	O	_	_	_	_
125	造	O	O	O	_	_	_	_
126	作	O	O	O	_	_	_	_
127	是	O	O	O	_	_	_	_
128	言	O	O	O	_	_	_	_
129	耳	O	O	O	_	_	_	_
130	夫	O	O	O	_	_	_	_
131	公	O	O	O	_	_	_	_
132	之	O	O	O	_	_	_	_
133	勛	O	O	O	_	_	_	_
134	業	O	O	O	_	_	_	_
135	在	O	O	O	_	_	_	_
136	萬	O	O	O	_	_	_	_
137	世	O	O	O	_	_	_	_
138	功	O	O	O	_	_	_	_
139	德	O	O	O	_	_	_	_
140	及	O	O	O	_	_	_	_
141	天	O	O	O	_	_	_	_
142	下	O	O	O	_	_	_	_
143	炳	O	O	O	_	_	_	_
144	耀	O	O	O	_	_	_	_
145	古	O	O	O	_	_	_	_
146	今	O	O	O	_	_	_	_
147	光	O	O	O	_	_	_	_
148	爭	O	O	O	_	_	_	_
149	日	O	O	O	_	_	_	_
150	月	O	O	O	_	_	_	_
151	古	O	O	O	_	_	_	_
152	所	O	O	O	_	_	_	_
153	謂	O	O	O	_	_	_	_
154	生	O	O	O	_	_	_	_
155	爲	O	O	O	_	_	_	_
156	上	O	O	O	_	_	_	_
157	柱	O	O	O	_	_	_	_
158	國	O	O	O	_	_	_	_
159	死	O	O	O	_	_	_	_
160	作	O	O	O	_	_	_	_
161	閻	O	O	O	_	_	_	_
162	羅	O	O	O	_	_	_	_
164	王	O	O	O	_	_	_	_
165	殆	O	O	O	_	_	_	_
166	不	O	O	O	_	_	_	_
167	過	O	O	O	_	_	_	_
168	如	O	O	O	_	_	_	_
169	此	O	O	O	_	_	_	_
170	且	O	O	O	_	_	_	_
171	天	O	O	O	_	_	_	_
172	地	O	O	O	_	_	_	_
173	無	O	O	O	_	_	_	_
174	心	O	O	O	_	_	_	_
175	視	O	O	O	_	_	_	_
176	聽	O	O	O	_	_	_	_
177	在	O	O	O	_	_	_	_
178	民	O	O	O	_	_	_	_
179	民	O	O	O	_	_	_	_
180	言	O	O	O	_	_	_	_
181	如	O	O	O	_	_	_	_
182	是	O	O	O	_	_	_	_
183	是	O	O	O	_	_	_	_
184	亦	O	O	O	_	_	_	_
185	可	O	O	O	_	_	_	_
186	知	O	O	O	_	_	_	_
187	矣	O	O	O	_	_	_	_
189	古	O	O	O	_	_	_	_
190	有	O	O	O	_	_	_	_
191	渴	O	O	O	_	_	_	_
192	睡	O	O	O	_	_	_	_
193	漢	O	O	O	_	_	_	_
194	之	O	O	O	_	_	_	_
195	稱	O	O	O	_	_	_	_
196	誚	O	O	O	_	_	_	_
197	人	O	O	O	_	_	_	_
198	沒	O	O	O	_	_	_	_
199	溺	O	O	O	_	_	_	_
200	于	O	O	O	_	_	_	_
201	黑	O	O	O	_	_	_	_
202	甜	O	O	O	_	_	_	_
203	鄉	O	O	O	_	_	_	_
204	中	O	O	O	_	_	_	_
205	以	O	O	O	_	_	_	_
206	致	O	O	O	_	_	_	_
207	神	O	O	O	_	_	_	_
208	氣	O	O	O	_	_	_	_
209	昏	O	O	O	_	_	_	_
210	迷	O	O	O	_	_	_	_
211	諸	O	O	O	_	_	_	_
212	事	O	O	O	_	_	_	_
213	廢	O	O	O	_	_	_	_
214	弛	O	O	O	_	_	_	_
215	也	O	O	O	_	_	_	_
216	乃	O	O	O	_	_	_	_
217	今	O	O	O	_	_	_	_
218	甬	O	O	O	_	_	_	_
219	上	O	O	O	_	_	_	_
220	所	O	O	O	_	_	_	_
221	傳	O	O	O	_	_	_	_
222	則	O	O	O	_	_	_	_
223	尤	O	O	O	_	_	_	_
224	有	O	O	O	_	_	_	_
225	可	O	O	O	_	_	_	_
226	哂	O	O	O	_	_	_	_
227	者	O	O	O	_	_	_	_
228	焉	O	O	O	_	_	_	_
230	江	B-org.busi	O	O	_	_	_	_
231	東	I-org.busi	O	O	_	_	_	_
232	冰	I-org.busi	O	O	_	_	_	_
233	厰	I-org.busi	O	O	_	_	_	_
234	跟	O	O	O	_	_	_	_
235	有	O	O	O	_	_	_	_
236	虞	B-pers.ind	B-comp.name	O	_	_	_	_
237	氏	I-pers.ind	O	O	_	_	_	_
238	婦	I-pers.ind	O	O	_	_	_	_
239	性	O	O	O	_	_	_	_
240	惰	O	O	O	_	_	_	_
241	而	O	O	O	_	_	_	_
242	貪	O	O	O	_	_	_	_
243	睡	O	O	O	_	_	_	_
244	一	O	O	O	_	_	_	_
245	至	O	O	O	_	_	_	_
246	邯	B-loc.adm.town	O	O	_	_	Q58570	_
247	鄲	I-loc.adm.town	O	O	_	_	_	_
248	道	O	O	O	_	_	_	_
249	上	O	O	O	_	_	_	_
250	輒	O	O	O	_	_	_	_
251	不	O	O	O	_	_	_	_
252	復	O	O	O	_	_	_	_
253	知	O	O	O	_	_	_	_
254	世	O	O	O	_	_	_	_
255	間	O	O	O	_	_	_	_
256	事	O	O	O	_	_	_	_
257	適	O	O	O	_	_	_	_
258	其	O	O	O	_	_	_	_
259	夫	O	O	O	_	_	_	_
260	以	O	O	O	_	_	_	_
261	事	O	O	O	_	_	_	_
262	客	O	O	O	_	_	_	_
263	外	O	O	O	_	_	_	_
264	無	O	O	O	_	_	_	_
265	人	O	O	O	_	_	_	_
266	管	O	O	O	_	_	_	_
267	束	O	O	O	_	_	_	_
268	日	O	O	O	_	_	_	_
269	夕	O	O	O	_	_	_	_
271	與	O	O	O	_	_	_	_
272	夢	O	O	O	_	_	_	_
273	境	O	O	O	_	_	_	_
274	爲	O	O	O	_	_	_	_
275	緣	O	O	O	_	_	_	_
276	有	O	O	O	_	_	_	_
277	偷	O	O	O	_	_	_	_
278	兒	O	O	O	_	_	_	_
279	偵	O	O	O	_	_	_	_
280	知	O	O	O	_	_	_	_
281	之	O	O	O	_	_	_	_
282	晚	O	O	O	_	_	_	_
283	間	O	O	O	_	_	_	_
284	竟	O	O	O	_	_	_	_
285	鑽	O	O	O	_	_	_	_
286	窗	O	O	O	_	_	_	_
287	牖	O	O	O	_	_	_	_
288	而	O	O	O	_	_	_	_
289	入	O	O	O	_	_	_	_
290	探	O	O	O	_	_	_	_
291	婦	O	O	O	_	_	_	_
292	鼻	O	O	O	_	_	_	_
293	息	O	O	O	_	_	_	_
294	如	O	O	O	_	_	_	_
295	雷	O	O	O	_	_	_	_
296	放	O	O	O	_	_	_	_
297	胆	O	O	O	_	_	_	_
298	張	O	O	O	_	_	_	_
299	燈	O	O	O	_	_	_	_
300	大	O	O	O	_	_	_	_
301	開	O	O	O	_	_	_	_
302	箧	O	O	O	_	_	_	_
303	笥	O	O	O	_	_	_	_
304	將	O	O	O	_	_	_	_
305	衣	O	O	O	_	_	_	_
306	服	O	O	O	_	_	_	_
307	席	O	O	O	_	_	_	_
308	卷	O	O	O	_	_	_	_
309	而	O	O	O	_	_	_	_
310	空	O	O	O	_	_	_	_
312	箱	O	O	O	_	_	_	_
313	籠	O	O	O	_	_	_	_
314	仍	O	O	O	_	_	_	_
315	與	O	O	O	_	_	_	_
316	關	O	O	O	_	_	_	_
317	鎖	O	O	O	_	_	_	_
318	窗	O	O	O	_	_	_	_
319	門	O	O	O	_	_	_	_
320	仍	O	O	O	_	_	_	_
321	與	O	O	O	_	_	_	_
322	閉	O	O	O	_	_	_	_
323	上	O	O	O	_	_	_	_
324	滅	O	O	O	_	_	_	_
325	燭	O	O	O	_	_	_	_
326	而	O	O	O	_	_	_	_
327	出	O	O	O	_	_	_	_
328	一	O	O	O	_	_	_	_
329	無	O	O	O	_	_	_	_
330	形	O	O	O	_	_	_	_
331	迹	O	O	O	_	_	_	_
332	次	O	O	O	_	_	_	_
333	夜	O	O	O	_	_	_	_
334	賊	O	O	O	_	_	_	_
335	思	O	O	O	_	_	_	_
336	什	O	O	O	_	_	_	_
337	物	O	O	O	_	_	_	_
338	尙	O	O	O	_	_	_	_
339	未	O	O	O	_	_	_	_
340	取	O	O	O	_	_	_	_
341	完	O	O	O	_	_	_	_
342	復	O	O	O	_	_	_	_
343	來	O	O	O	_	_	_	_
344	爇	O	O	O	_	_	_	_
345	火	O	O	O	_	_	_	_
346	四	O	O	O	_	_	_	_
347	照	O	O	O	_	_	_	_
348	納	O	O	O	_	_	_	_
349	諸	O	O	O	_	_	_	_
350	物	O	O	O	_	_	_	_
351	篋	O	O	O	_	_	_	_
353	中	O	O	O	_	_	_	_
354	始	O	O	O	_	_	_	_
355	徜	O	O	O	_	_	_	_
356	徉	O	O	O	_	_	_	_
357	而	O	O	O	_	_	_	_
358	去	O	O	O	_	_	_	_
359	婦	O	O	O	_	_	_	_
360	仍	O	O	O	_	_	_	_
361	不	O	O	O	_	_	_	_
362	覺	O	O	O	_	_	_	_
363	也	O	O	O	_	_	_	_
364	越	O	O	O	_	_	_	_
365	數	O	O	O	_	_	_	_
366	日	O	O	O	_	_	_	_
367	婦	O	O	O	_	_	_	_
368	欲	O	O	O	_	_	_	_
369	取	O	O	O	_	_	_	_
370	衣	O	O	O	_	_	_	_
371	更	O	O	O	_	_	_	_
372	換	O	O	O	_	_	_	_
373	開	O	O	O	_	_	_	_
374	箱	O	O	O	_	_	_	_
375	一	O	O	O	_	_	_	_
376	見	O	O	O	_	_	_	_
377	則	O	O	O	_	_	_	_
378	已	O	O	O	_	_	_	_
379	杳	O	O	O	_	_	_	_
380	無	O	O	O	_	_	_	_
381	一	O	O	O	_	_	_	_
382	物	O	O	O	_	_	_	_
383	矣	O	O	O	_	_	_	_
384	大	O	O	O	_	_	_	_
385	駭	O	O	O	_	_	_	_
386	啟	O	O	O	_	_	_	_
387	視	O	O	O	_	_	_	_
388	他	O	O	O	_	_	_	_
389	箱	O	O	O	_	_	_	_
390	亦	O	O	O	_	_	_	_
391	皆	O	O	O	_	_	_	_
392	如	O	O	O	_	_	_	_
394	玉	O	O	O	_	_	_	_
395	杯	O	O	O	_	_	_	_
396	之	O	O	O	_	_	_	_
397	羽	O	O	O	_	_	_	_
398	化	O	O	O	_	_	_	_
399	方	O	O	O	_	_	_	_
400	在	O	O	O	_	_	_	_
401	悲	O	O	O	_	_	_	_
402	憤	O	O	O	_	_	_	_
403	鄰	O	O	O	_	_	_	_
404	人	O	O	O	_	_	_	_
405	聞	O	O	O	_	_	_	_
406	之	O	O	O	_	_	_	_
407	恍	O	O	O	_	_	_	_
408	然	O	O	O	_	_	_	_
409	曰	O	O	O	_	_	_	_
410	正	O	O	O	_	_	_	_
411	怪	O	O	O	_	_	_	_
412	汝	O	O	O	_	_	_	_
413	家	O	O	O	_	_	_	_
414	前	O	O	O	_	_	_	_
415	日	O	O	O	_	_	_	_
416	何	O	O	O	_	_	_	_
417	燈	O	O	O	_	_	_	_
418	影	O	O	O	_	_	_	_
419	輝	O	O	O	_	_	_	_
420	煌	O	O	O	_	_	_	_
421	幾	O	O	O	_	_	_	_
422	至	O	O	O	_	_	_	_
423	半	O	O	O	_	_	_	_
424	夜	O	O	O	_	_	_	_
425	不	O	O	O	_	_	_	_
426	睡	O	O	O	_	_	_	_
427	共	O	O	O	_	_	_	_
428	疑	O	O	O	_	_	_	_
429	爲	O	O	O	_	_	_	_
430	有	O	O	O	_	_	_	_
431	異	O	O	O	_	_	_	_
432	常	O	O	O	_	_	_	_
433	時	O	O	O	_	_	_	_
435	也	O	O	O	_	_	_	_
436	誰	O	O	O	_	_	_	_
437	知	O	O	O	_	_	_	_
438	爲	O	O	O	_	_	_	_
439	偷	O	O	O	_	_	_	_
440	兒	O	O	O	_	_	_	_
441	狡	O	O	O	_	_	_	_
442	猾	O	O	O	_	_	_	_
443	哉	O	O	O	_	_	_	_
444	夫	O	O	O	_	_	_	_
445	居	O	O	O	_	_	_	_
446	家	O	O	O	_	_	_	_
447	懶	O	O	O	_	_	_	_
448	惰	O	O	O	_	_	_	_
449	婦	O	O	O	_	_	_	_
450	女	O	O	O	_	_	_	_
451	亦	O	O	O	_	_	_	_
452	間	O	O	O	_	_	_	_
453	有	O	O	O	_	_	_	_
454	之	O	O	O	_	_	_	_
455	酣	O	O	O	_	_	_	_
456	眠	O	O	O	_	_	_	_
457	不	O	O	O	_	_	_	_
458	醒	O	O	O	_	_	_	_
459	爲	O	O	O	_	_	_	_
460	竊	O	O	O	_	_	_	_
461	賊	O	O	O	_	_	_	_
462	乘	O	O	O	_	_	_	_
463	機	O	O	O	_	_	_	_
464	得	O	O	O	_	_	_	_
465	飽	O	O	O	_	_	_	_
466	欲	O	O	O	_	_	_	_
467	壑	O	O	O	_	_	_	_
468	則	O	O	O	_	_	_	_
469	自	O	O	O	_	_	_	_
470	取	O	O	O	_	_	_	_
471	其	O	O	O	_	_	_	_
472	殃	O	O	O	_	_	_	_
473	恐	O	O	O	_	_	_	_
474	反	O	O	O	_	_	_	_
476	爲	O	O	O	_	_	_	_
477	穿	O	O	O	_	_	_	_
478	窬	O	O	O	_	_	_	_
479	所	O	O	O	_	_	_	_
480	匿	O	O	O	_	_	_	_
481	笑	O	O	O	_	_	_	_
482	耳	O	O	O	_	_	_	_

# 7-SPSP187212020402
0	徐	B-pers.ind	B-comp.name	O	_	[3, 5]	_	_
1	生	I-pers.ind	B-comp.title	O	_	_	_	_
2	名	O	O	O	_	_	_	_
3	海	O	B-comp.name	O	_	_	_	_
4	字	O	O	O	_	_	_	_
5	文	O	B-comp.name	O	_	_	_	_
6	瀾	O	I-comp.name	O	_	_	_	_
7	江	B-loc.adm.reg	O	O	_	_	Q57052	_
8	西	I-loc.adm.reg	O	O	_	_	_	_
10	陵	B-loc.unk	O	O	_	_	_	_
11	諸	I-loc.unk	O	O	_	_	_	_
12	生	O	O	O	_	_	_	_
13	也	O	O	O	_	_	_	_
14	乃	O	O	O	_	_	_	_
15	父	O	O	O	_	_	_	_
16	以	O	O	O	_	_	_	_
17	經	O	O	O	_	_	_	_
18	商	O	O	O	_	_	_	_
19	往	O	O	O	_	_	_	_
20	來	O	O	O	_	_	_	_
21	西	B-loc.adm.reg	O	O	_	_	Q19770	_
22	蜀	I-loc.adm.reg	O	O	_	_	_	_
23	素	O	O	O	_	_	_	_
24	敬	O	O	O	_	_	_	_
25	事	O	O	O	_	_	_	_
26	呂	O	O	O	_	_	_	_
27	祖	O	O	O	_	_	_	_
28	數	O	O	O	_	_	_	_
29	十	O	O	O	_	_	_	_
30	年	O	O	O	_	_	_	_
31	如	O	O	O	_	_	_	_
32	一	O	O	O	_	_	_	_
33	日	O	O	O	_	_	_	_
34	焉	O	O	O	_	_	_	_
35	會	O	O	O	_	_	_	_
36	購	O	O	O	_	_	_	_
37	貨	O	O	O	_	_	_	_
38	買	O	O	O	_	_	_	_
39	舟	O	O	O	_	_	_	_
40	由	O	O	O	_	_	_	_
41	川	O	O	O	_	_	_	_
42	江	O	O	O	_	_	_	_
43	而	O	O	O	_	_	_	_
44	下	O	O	O	_	_	_	_
45	泊	O	O	O	_	_	_	_
46	船	O	O	O	_	_	_	_
47	于	O	O	O	_	_	_	_
48	巫	B-loc.phys.hydro	O	O	_	_	Q8038910	_
49	峽	I-loc.phys.hydro	O	O	_	_	_	_
51	之	O	O	O	_	_	_	_
52	間	O	O	O	_	_	_	_
53	有	O	O	O	_	_	_	_
54	道	O	O	O	_	_	_	_
55	人	O	O	O	_	_	_	_
56	求	O	O	O	_	_	_	_
57	咐	O	O	O	_	_	_	_
58	舟	O	O	O	_	_	_	_
59	徐	O	O	O	_	_	_	_
60	見	O	O	O	_	_	_	_
61	其	O	O	O	_	_	_	_
62	儀	O	O	O	_	_	_	_
63	表	O	O	O	_	_	_	_
64	俊	O	O	O	_	_	_	_
65	逸	O	O	O	_	_	_	_
66	欣	O	O	O	_	_	_	_
67	然	O	O	O	_	_	_	_
68	許	O	O	O	_	_	_	_
69	諾	O	O	O	_	_	_	_
70	越	O	O	O	_	_	_	_
71	日	O	O	O	_	_	_	_
72	聞	O	O	O	_	_	_	_
73	前	O	O	O	_	_	_	_
74	途	O	O	O	_	_	_	_
75	寇	O	O	O	_	_	_	_
76	氛	O	O	O	_	_	_	_
77	大	O	O	O	_	_	_	_
78	懼	O	O	O	_	_	_	_
79	道	O	O	O	_	_	_	_
80	人	O	O	O	_	_	_	_
81	曰	O	O	O	_	_	_	_
82	是	O	O	O	_	_	_	_
83	不	O	O	O	_	_	_	_
84	必	O	O	O	_	_	_	_
85	憂	O	O	O	_	_	_	_
86	吾	O	O	O	_	_	_	_
87	有	O	O	O	_	_	_	_
88	小	O	O	O	_	_	_	_
89	術	O	O	O	_	_	_	_
90	可	O	O	O	_	_	_	_
92	以	O	O	O	_	_	_	_
93	避	O	O	O	_	_	_	_
94	之	O	O	O	_	_	_	_
95	乃	O	O	O	_	_	_	_
96	戒	O	O	O	_	_	_	_
97	舟	O	O	O	_	_	_	_
98	人	O	O	O	_	_	_	_
99	見	O	O	O	_	_	_	_
100	宼	O	O	O	_	_	_	_
101	來	O	O	O	_	_	_	_
102	屏	O	O	O	_	_	_	_
103	息	O	O	O	_	_	_	_
104	而	O	O	O	_	_	_	_
105	臥	O	O	O	_	_	_	_
106	勿	O	O	O	_	_	_	_
107	作	O	O	O	_	_	_	_
108	言	O	O	O	_	_	_	_
109	語	O	O	O	_	_	_	_
110	隨	O	O	O	_	_	_	_
111	探	O	O	O	_	_	_	_
112	小	O	O	O	_	_	_	_
113	布	O	O	O	_	_	_	_
114	囊	O	O	O	_	_	_	_
115	出	O	O	O	_	_	_	_
116	黄	O	O	O	_	_	_	_
117	土	O	O	O	_	_	_	_
118	三	O	O	O	_	_	_	_
119	撮	O	O	O	_	_	_	_
120	置	O	O	O	_	_	_	_
121	諸	O	O	O	_	_	_	_
122	船	O	O	O	_	_	_	_
123	頭	O	O	O	_	_	_	_
124	俄	O	O	O	_	_	_	_
125	賊	O	O	O	_	_	_	_
126	至	O	O	O	_	_	_	_
127	舟	O	O	O	_	_	_	_
128	人	O	O	O	_	_	_	_
129	伏	O	O	O	_	_	_	_
130	蓬	O	O	O	_	_	_	_
131	底	O	O	O	_	_	_	_
133	手	O	O	O	_	_	_	_
134	足	O	O	O	_	_	_	_
135	戰	O	O	O	_	_	_	_
136	栗	O	O	O	_	_	_	_
137	竊	O	O	O	_	_	_	_
138	從	O	O	O	_	_	_	_
139	蓬	O	O	O	_	_	_	_
140	隙	O	O	O	_	_	_	_
141	窺	O	O	O	_	_	_	_
142	之	O	O	O	_	_	_	_
143	見	O	O	O	_	_	_	_
144	隣	O	O	O	_	_	_	_
145	舟	O	O	O	_	_	_	_
146	俱	O	O	O	_	_	_	_
147	爲	O	O	O	_	_	_	_
148	賊	O	O	O	_	_	_	_
149	刼	O	O	O	_	_	_	_
150	且	O	O	O	_	_	_	_
151	往	O	O	O	_	_	_	_
152	來	O	O	O	_	_	_	_
153	於	O	O	O	_	_	_	_
154	江	O	O	O	_	_	_	_
155	岸	O	O	O	_	_	_	_
156	上	O	O	O	_	_	_	_
157	曰	O	O	O	_	_	_	_
159	見	O	O	O	_	_	_	_
160	貨	O	O	O	_	_	_	_
161	船	O	O	O	_	_	_	_
162	泊	O	O	O	_	_	_	_
163	此	O	O	O	_	_	_	_
164	何	O	O	O	_	_	_	_
165	忽	O	O	O	_	_	_	_
166	逃	O	O	O	_	_	_	_
167	遁	O	O	O	_	_	_	_
168	遂	O	O	O	_	_	_	_
169	去	O	O	O	_	_	_	_
170	之	O	O	O	_	_	_	_
171	道	O	O	O	_	_	_	_
172	人	O	O	O	_	_	_	_
173	拾	O	O	O	_	_	_	_
174	黄	O	O	O	_	_	_	_
175	土	O	O	O	_	_	_	_
176	入	O	O	O	_	_	_	_
177	囊	O	O	O	_	_	_	_
178	戒	O	O	O	_	_	_	_
179	舟	O	O	O	_	_	_	_
180	亟	O	O	O	_	_	_	_
181	往	O	O	O	_	_	_	_
182	漢	B-loc.adm.town	O	O	_	_	Q1208250	191700
183	口	I-loc.adm.town	O	O	_	_	_	_
184	徐	B-pers.ind	O	O	_	_	_	_
185	酬	O	O	O	_	_	_	_
186	以	O	O	O	_	_	_	_
187	金	O	O	O	_	_	_	_
188	帛	O	O	O	_	_	_	_
189	皆	O	O	O	_	_	_	_
190	不	O	O	O	_	_	_	_
191	受	O	O	O	_	_	_	_
192	後	O	O	O	_	_	_	_
193	徐	B-pers.ind	B-comp.name	B-COREF	193	_	_	_
194	海	I-pers.ind	I-comp.name	I-COREF	_	_	_	_
195	娶	O	O	O	_	_	_	_
196	妻	O	O	O	_	_	_	_
197	黎	B-pers.ind	B-comp.name	O	_	_	_	_
198	氏	I-pers.ind	B-comp.title	O	_	_	_	_
200	生	O	O	O	_	_	_	_
201	二	O	O	O	_	_	_	_
202	子	O	O	O	_	_	_	_
203	今	O	O	O	_	_	_	_
204	婢	O	O	O	_	_	_	_
205	撫	O	O	O	_	_	_	_
206	之	O	O	O	_	_	_	_
207	婢	O	O	O	_	_	_	_
208	偶	O	O	O	_	_	_	_
209	出	O	O	O	_	_	_	_
210	門	O	O	O	_	_	_	_
211	見	O	O	O	_	_	_	_
212	有	O	O	O	_	_	_	_
213	作	O	O	O	_	_	_	_
214	水	O	O	O	_	_	_	_
215	面	O	O	O	_	_	_	_
216	浮	O	O	O	_	_	_	_
217	針	O	O	O	_	_	_	_
218	者	O	O	O	_	_	_	_
219	歸	O	O	O	_	_	_	_
220	以	O	O	O	_	_	_	_
221	断	O	O	O	_	_	_	_
222	針	O	O	O	_	_	_	_
223	置	O	O	O	_	_	_	_
224	茶	O	O	O	_	_	_	_
225	碗	O	O	O	_	_	_	_
226	中	O	O	O	_	_	_	_
227	欲	O	O	O	_	_	_	_
228	效	O	O	O	_	_	_	_
229	其	O	O	O	_	_	_	_
230	術	O	O	O	_	_	_	_
231	忽	O	O	O	_	_	_	_
232	聞	O	O	O	_	_	_	_
233	主	O	O	O	_	_	_	_
234	婦	O	O	O	_	_	_	_
235	喚	O	O	O	_	_	_	_
236	奔	O	O	O	_	_	_	_
237	入	O	O	O	_	_	_	_
238	輒	O	O	O	_	_	_	_
239	出	O	O	O	_	_	_	_
241	忘	O	O	O	_	_	_	_
242	却	O	O	O	_	_	_	_
243	碗	O	O	O	_	_	_	_
244	中	O	O	O	_	_	_	_
245	物	O	O	O	_	_	_	_
246	矣	O	O	O	_	_	_	_
247	至	O	O	O	_	_	_	_
248	夜	O	O	O	_	_	_	_
249	黎	B-pers.ind	B-comp.name	O	_	_	_	_
250	氏	I-pers.ind	B-comp.title	O	_	_	_	_
251	口	O	O	O	_	_	_	_
252	渴	O	O	O	_	_	_	_
253	見	O	O	O	_	_	_	_
254	案	O	O	O	_	_	_	_
255	頭	O	O	O	_	_	_	_
256	有	O	O	O	_	_	_	_
257	茶	O	O	O	_	_	_	_
258	碗	O	O	O	_	_	_	_
259	未	O	O	O	_	_	_	_
260	遑	O	O	O	_	_	_	_
261	細	O	O	O	_	_	_	_
262	辨	O	O	O	_	_	_	_
263	一	O	O	O	_	_	_	_
264	吸	O	O	O	_	_	_	_
265	盡	O	O	O	_	_	_	_
266	之	O	O	O	_	_	_	_
